"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Mar 1, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,X
"Mar 3, 2023",Fri,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,1,1,1,,
"Mar 3, 2023",Fri,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,,,,,,,X
"Mar 4, 2023",Sat,,10:00 AM - 04:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,Bronco,,1,1,1,,
"Mar 4, 2023",Sat,,12:00 PM - 04:00 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,X
"Mar 5, 2023",Sun,,10:00 AM - 04:00 PM,Delridge Playfield Ballfield 01 (SW),R108572,Mustang,,1,1,1,,
"Mar 5, 2023",Sun,,03:30 PM - 07:30 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 6, 2023",Mon,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,X
"Mar 6, 2023",Mon,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,,,,,,,X
"Mar 6, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 7, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 8, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,,,,,,,X
"Mar 8, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,X
"Mar 8, 2023",Wed,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,X
"Mar 9, 2023",Thu,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Pony,,1,1,1,,
"Mar 10, 2023",Fri,,05:00 PM - 06:00 PM,Lincoln Park Ballfield 02,,Bronco,,1,,,,
"Mar 10, 2023",Fri,,05:00 PM - 06:00 PM,Lincoln Park Ballfield 03,,Bronco,,1,,,,
"Mar 10, 2023",Fri,,05:00 PM - 06:00 PM,Riverview Playfield Ballfield 01,,Bronco,,1,,,,
"Mar 10, 2023",Fri,,05:00 PM - 06:00 PM,Riverview Playfield Ballfield 02,,Bronco,,1,,,,
"Mar 10, 2023",Fri,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Bronco,,1,,,2 teams need to split,
"Mar 10, 2023",Fri,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,Bronco,,2,,,,
"Mar 10, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Bronco,,1,8,8,,
"Mar 11, 2022",Fri,,09:00 AM - 03:00 PM,Pee Wees,,Pinto,,12,12,12,,
"Mar 11, 2023",Sat,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,2,,,,
"Mar 11, 2023",Sat,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,2,,,,
"Mar 11, 2023",Sat,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 03,R108572,Mustang,,2,,,,
"Mar 11, 2023",Sat,,09:00 AM - 01:00 PM,Riverview Playfield Ballfield 04,R108572,Mustang,,2,,,,
"Mar 11, 2023",Sat,,03:00 PM - 05:00 PM,Pee Wees,,Mustang,,4,12,10,,
"Mar 11, 2023",Sat,,09:00 AM - 02:00 PM,Delridge Playfield Ballfield 01 (SW),R108581,,,,,,,
"Mar 11, 2023",Sat,,12:00 PM - 04:30 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,
"Mar 11, 2023",Sat,,02:00 PM - 04:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,
"Mar 12, 2023",Sun,,12:30 PM - 04:00 PM,Sealth HS Complex Utility Field Lower,R108572,,,,,,,
"Mar 12, 2023",Sun,,01:00 PM - 03:00 PM,Sealth HS Complex Softball Lower,R108572,,,,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Pee Wees,,Pinto,,6,,,6 teams need to split 4 fields,
"Mar 13, 2023",Mon,,07:00 PM - 09:00 PM,Sealth Upper Softball,,Pinto,,2,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 01,R108577,Pinto,,1,,,,
"Mar 13, 2023",Mon,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,Pinto,,2,11,11,,
"Mar 13, 2023",Mon,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 01 (SW),R108581,Bronco,,1,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 03,R108572,Bronco,,1,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Bronco,,1,,,,
"Mar 13, 2023",Mon,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 01,R108572,Bronco,,1,,,,
"Mar 13, 2023",Mon,,07:00 PM - 08:45 PM,Sealth HS Complex Utility Field Lower,R108572,Bronco,,1,,,,
"Mar 13, 2023",Mon,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108572,Bronco,,2,8,8,,
"Mar 14, 2023",Tue,,05:00 PM - 07:15 PM,Pee Wees,R108581,Mustang,,4,,,,
"Mar 14, 2023",Tue,,05:00 PM - 07:00 PM,Lincoln Park Ballfield 03,R108572,Mustang,,1,,,,
"Mar 14, 2023",Tue,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 01,R108572,Mustang,,1,,,,
"Mar 14, 2023",Tue,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Mustang,,1,,,,
"Mar 14, 2023",Tue,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 03,R108572,Mustang,,1,,,,
"Mar 14, 2024",Thu,,05:00 PM - 07:00 PM,Lincoln Park 2,,Mustang,,1,,,,
"Mar 14, 2023",Tue,,07:00 PM - 08:45 PM,Sealth HS Complex Utility Field Lower,R108572,Mustang,,1,10,10,,
"Mar 14, 2023",Tue,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,,Pony,,2,2,2,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Pee Wees,,Pinto,,6,,,6 teams need to split 4 fields,
"Mar 15, 2023",Wed,,07:00 PM - 09:00 PM,Sealth Upper,,Pinto,,2,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Riverview Playfield Ballfield 02,R108572,Pinto,,2,,,2 teams need to split a field,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 01,R108577,Pinto,,1,11,11,,
"Mar 15, 2023",Wed,,05:45 PM - 07:30 PM,Delridge Playfield Ballfield 02 (NE),R108572,Bronco,,2,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:00 PM,Lincoln Park Ballfield 03,R108572,Bronco,,1,,,,
"Mar 15, 2023",Wed,,05:00 PM - 07:15 PM,Lincoln Park Ballfield 02,R108572,Bronco,,1,,,,
