Date,Start Time,End Time,Arrival Time,Short Label,Event Type,Division,Home Team,Away Team,Location,Location Details
3/10/2023,7:00 PM,9:00 PM,15,Practice,Practice,Bronco 12U,Crockett Chihuahuas,,Sealth Softball Lower INFIELD,Your team will be splitting the field with O'Neill Red Sox. Consider trading use of the infield at the halfway point.
3/10/2023,7:00 PM,9:00 PM,15,Practice,Practice,Bronco 12U,O'Neill Red Sox,,Sealth Softball Lower OUTFIELD,Your team will be splitting the field with Crockett Chihuahuas. Consider trading use of the infield at the halfway point.
3/10/2023,5:45 PM,7:15 PM,15,Practice,Practice,Bronco 12U,SGB Warriors,,Delridge SW Corner,
3/10/2023,5:45 PM,7:15 PM,15,Practice,Practice,Bronco 12U,Salon,,Delridge NE Corner,
3/10/2023,5:00 PM,6:00 PM,15,Practice,Practice,Bronco 12U,Tom's Cubs,,Lincoln Park Field #2,
3/10/2023,5:00 PM,6:00 PM,15,Practice,Practice,Bronco 12U,Boss Pirates,,Lincoln Park Field #3,
3/13/2023,5:45 PM,7:15 PM,15,Practice,Practice,Bronco 12U,Boss Pirates,,Delridge SW Corner,
3/13/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,SGB Warriors,,Lincoln Park Field #2,
3/13/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Tom's Cubs,,Riverview Playfield #3,
3/13/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Crockett Chihuahuas,,Riverview Playfield # 2,
3/13/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Salon,,Riverview Playfield # 1,
3/13/2023,7:00 PM,8:30 PM,15,Practice,Practice,Bronco 12U,O'Neill Red Sox,,Sealth Utility,
3/15/2023,5:45 PM,7:15 PM,15,Practice,Practice,Bronco 12U,Crockett Chihuahuas,,Delridge NE Corner,
3/15/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,SGB Warriors,,Lincoln Park Field #3,
3/15/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Salon,,Lincoln Park Field #2,
3/15/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Boss Pirates,,Riverview Playfield # 1,
3/15/2023,7:00 PM,8:30 PM,15,Practice,Practice,Bronco 12U,Tom's Cubs,,Sealth Utility,
3/15/2023,7:00 PM,8:30 PM,15,Practice,Practice,Bronco 12U,O'Neill Red Sox,,Sealth Softball Lower,
3/17/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,O'Neill Red Sox,,Riverview Playfield #4,
3/17/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Boss Pirates,,Riverview Playfield # 2,
3/17/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Crockett Chihuahuas,,Riverview Playfield #3,
3/17/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Tom's Cubs,,Riverview Playfield # 1,
3/17/2023,5:00 PM,6:30 PM,15,Practice,Practice,Bronco 12U,Salon,,Lincoln Park Field #1,
