Date,Start Time,End Time,Arrival Time,Short Label,Event Type,Division,Home Team,Away Team,Location,Location Details
3/11/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Northwest Art & Frame,,Pee Wee Field - A North,
3/11/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Wildwood Market,,Pee Wee Field - A South,
3/11/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Raynor Construction,,Pee Wee Field - B North,
3/11/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Pivar,,Pee Wee Field - B South,
3/11/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,O'Neill Plumbing,,Pee Wee Field - A North,
3/11/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Alki Lumber,,Pee Wee Field - A South,
3/11/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Menashe Jewelers,,Pee Wee Field - B North,
3/11/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Tom's Auto,,Pee Wee Field - B South,
3/11/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,Charter Construction,,Pee Wee Field - A North,
3/11/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,Boss Drive-In,,Pee Wee Field - A South,
3/11/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,Camp Crockett,,Pee Wee Field - B North,
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Raynor Construction,,Pee Wee Field - A North INFIELD,Your team will be splitting the field with Wildwood Market. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Wildwood Market,,Pee Wee Field - A North OUTFIELD,Your team will be splitting the field with Raynor Construction. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Boss Drive-In,,Pee Wee Field - A South INFIELD,Your team will be splitting the field with Alki Lumber. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Alki Lumber,,Pee Wee Field - A South OUTFIELD,Your team will be splitting the field with Boss Drive-In. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Camp Crockett,,Pee Wee Field - B North INFIELD,Your team will be splitting the field with Charter Construction. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Charter Construction,,Pee Wee Field - B North OUTFIELD,Your team will be splitting the field with Camp Crockett. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Northwest Art & Frame,,Pee Wee Field - B South INFIELD,Your team will be splitting the field with Tom's Auto. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Tom's Auto,,Pee Wee Field - B South OUTFIELD,Your team will be splitting the field with Northwest Art & Frame. Consider trading use of the infield at the halfway point.
3/13/2023,5:00 PM,6:30 PM,15,Practice,Practice,Pinto 8U,O'Neill Plumbing,,Lincoln Park Field #1,
3/13/2023,5:45 PM,7:15 PM,15,Practice,Practice,Pinto 8U,Pivar,,Delridge NE Corner,
3/13/2023,5:45 PM,7:15 PM,15,Practice,Practice,Pinto 8U,Menashe Jewelers,,Delridge SW Corner,
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Menashe Jewelers,,Riverview Playfield # 2 INFIELD,Your team will be splitting the field with O'Neill Plumbing. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,O'Neill Plumbing,,Riverview Playfield # 2 OUTFIELD,Your team will be splitting the field with Menashe Jewelers. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Pivar,,Pee Wee Field - A North INFIELD,Your team will be splitting the field with Alki Lumber. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Alki Lumber,,Pee Wee Field - A North OUTFIELD,Your team will be splitting the field with Pivar. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Charter Construction,,Pee Wee Field - A South INFIELD,Your team will be splitting the field with Raynor Construction. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Raynor Construction,,Pee Wee Field - A South OUTFIELD,Your team will be splitting the field with Charter Construction. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Wildwood Market,,Pee Wee Field - B North INFIELD,Your team will be splitting the field with Tom's Auto. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Tom's Auto,,Pee Wee Field - B North OUTFIELD,Your team will be splitting the field with Wildwood Market. Consider trading use of the infield at the halfway point.
3/15/2023,5:00 PM,6:30 PM,15,Practice,Practice,Pinto 8U,Boss Drive-In,,Pee Wee Field - B South,
3/15/2023,5:45 PM,7:15 PM,15,Practice,Practice,Pinto 8U,Northwest Art & Frame,,Delridge NE Corner,
3/15/2023,5:00 PM,6:30 PM,15,Practice,Practice,Pinto 8U,Camp Crockett,,Lincoln Park Field #1,
3/18/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Charter Construction,,Pee Wee Field - A North,
3/18/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Menashe Jewelers,,Pee Wee Field - A South,
3/18/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Boss Drive-In,,Pee Wee Field - B North,
3/18/2023,9:00 AM,10:30 AM,15,Practice,Practice,Pinto 8U,Northwest Art & Frame,,Pee Wee Field - B South,
3/18/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Wildwood Market,,Pee Wee Field - A North,
3/18/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Tom's Auto,,Pee Wee Field - A South,
3/18/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Pivar,,Pee Wee Field - B North,
3/18/2023,10:30 AM,12:00 PM,15,Practice,Practice,Pinto 8U,Raynor Construction,,Pee Wee Field - B South,
3/18/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,Alki Lumber,,Pee Wee Field - A North,
3/18/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,Camp Crockett,,Pee Wee Field - A South,
3/18/2023,12:00 PM,1:30 PM,15,Practice,Practice,Pinto 8U,O'Neill Plumbing,,Pee Wee Field - B North,
3/20/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Boss Drive-In,,Pee Wee Field - A North INFIELD,Your team will be splitting the field with Menashe Jewelers. Consider trading use of the infield at the halfway point.
3/20/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Menashe Jewelers,,Pee Wee Field - A North OUTFIELD,Your team will be splitting the field with Boss Drive-In. Consider trading use of the infield at the halfway point.
3/20/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Northwest Art & Frame,,Pee Wee Field - A South INFIELD,Your team will be splitting the field with Camp Crockett. Consider trading use of the infield at the halfway point.
3/20/2023,5:00 PM,7:00 PM,15,Practice,Practice,Pinto 8U,Camp Crockett,,Pee Wee Field - A South OUTFIELD,Your team will be splitting the field with Northwest Art & Frame. Consider trading use of the infield at the halfway point.
